ingredient_name,aliases,allergen_category,source,plain_explanation,verified
Recaldent (CPP-ACP),Casein phosphopeptide | Milk-derived calcium complex | Recaldent | CPP-ACP | Recaldent CPP ACP,milk,AI/ML general food-safety reference (not yet dataset-verified),A milk-derived compound added to sugar-free gum/toothpaste to help remineralize teeth.,false
Egg,Whole egg | Dried egg | Powdered egg | Egg solids,egg,OpenFoodFacts (2019 export) + allergies_10k.csv,Chicken egg in any form; one of the most common childhood allergens.,true
Albumin,Egg albumin | Ovalbumin,egg,OpenFoodFacts (2019 export),"The protein-rich portion of egg white, used for foaming and binding.",true
Egg white,Albumen | Liquid egg white,egg,AI/ML general food-safety reference (not yet dataset-verified),"The clear part of the egg; a common food-allergy trigger, separate in labeling from yolk.",false
Egg yolk,Dried egg yolk,egg,AI/ML general food-safety reference (not yet dataset-verified),"The yellow part of the egg, rich in fat; still a trigger for egg allergy though slightly less allergenic than white.",false
Lysozyme,Egg white lysozyme | E1105,egg,AI/ML general food-safety reference (not yet dataset-verified),"An enzyme derived from egg white, used as a natural preservative in some cheeses and wines.",false
Globulin,Egg globulin | Ovoglobulin,egg,AI/ML general food-safety reference (not yet dataset-verified),A protein fraction from egg white used for its foaming properties.,false
Peanut,Groundnut | Arachis hypogaea | Peanut flour | Peanut protein,peanut,OpenFoodFacts (2019 export) + allergies_10k.csv,A legume (not a true nut) that is one of the most severe and common food allergens.,true
Peanut oil (cold-pressed/gourmet),Arachis oil | Cold-pressed peanut oil | Peanut oil | cold-pressed | gourmet | Peanut oil cold pressed gourmet,peanut,AI/ML general food-safety reference (not yet dataset-verified),"Oil extracted from peanuts; highly refined peanut oil is usually protein-free, but cold-pressed/gourmet versions retain allergenic protein.",false
Peanut flour,Ground peanuts | Defatted peanut flour,peanut,AI/ML general food-safety reference (not yet dataset-verified),"Peanuts ground into a fine powder, used to add flavor/protein to foods.",false
Mixed nuts (may contain peanut),Nut mix | Mixed nuts | may contain peanut | Mixed nuts may contain peanut,peanut,AI/ML general food-safety reference (not yet dataset-verified),Generic nut-mix labeling that frequently includes peanuts alongside tree nuts.,false
Almond,Almond flour | Almond meal | Almond milk | Amygdalus communis,tree_nuts,OpenFoodFacts (2019 export) + allergies_10k.csv,"A tree nut widely used whole, sliced, or as flour/milk in modern 'alternative' products.",true
Cashew,Cashew nut | Anacardium occidentale,tree_nuts,OpenFoodFacts (2019 export) + allergies_10k.csv,A tree nut related to mango and pistachio; a common allergen with high cross-reactivity to pistachio.,true
Walnut,English walnut | Black walnut | Juglans regia,tree_nuts,OpenFoodFacts (2019 export) + allergies_10k.csv,A common tree nut used whole or ground in baking.,true
Pecan,Carya illinoinensis,tree_nuts,OpenFoodFacts (2019 export) + allergies_10k.csv,"A tree nut closely related to walnut, common in Southern US desserts.",true
Hazelnut,Filbert | Cobnut | Corylus avellana,tree_nuts,OpenFoodFacts (2019 export),A tree nut widely used in chocolate spreads and confections.,true
Pistachio,Pistacia vera,tree_nuts,OpenFoodFacts (2019 export),"A tree nut related to cashew, with high cross-reactivity risk between the two.",true
Brazil nut,Bertholletia excelsa,tree_nuts,OpenFoodFacts (2019 export),"A large tree nut, one of the more potent tree-nut allergens by protein content.",true
Macadamia nut,Macadamia integrifolia,tree_nuts,OpenFoodFacts (2019 export),"A rich, buttery tree nut used often in cookies and confections.",true
Pine nut,Pignoli | Pinon nut,tree_nuts,AI/ML general food-safety reference (not yet dataset-verified),"The edible seed of pine trees, botanically a tree nut for allergy-labeling purposes.",false
Nut butter (generic tree nut),Mixed nut butter | Nut butter | generic tree nut | Nut butter generic tree nut,tree_nuts,AI/ML general food-safety reference (not yet dataset-verified),A spread made from one or more ground tree nuts; specific nut(s) should be confirmed from the label.,false
Soybean,Soya bean | Glycine max,soy,AI/ML general food-safety reference (not yet dataset-verified),The whole legume that soy products are derived from.,false
Soy lecithin,Lecithin (soy) | E322 (soy),soy,OpenFoodFacts (2019 export) + allergies_10k.csv,An emulsifier extracted from soybeans; usually contains very little residual protein but can still trigger reactions in sensitive individuals.,true
Soy protein isolate,Isolated soy protein | Textured soy protein | TVP,soy,AI/ML general food-safety reference (not yet dataset-verified),A concentrated soy protein used to bulk up processed and plant-based foods.,false
Tofu,Bean curd,soy,AI/ML general food-safety reference (not yet dataset-verified),Soybean curds pressed into a solid block; a whole-soy product.,false
Edamame,Immature soybeans,soy,AI/ML general food-safety reference (not yet dataset-verified),"Young, unripe soybeans typically boiled and salted.",false
Soy sauce,Shoyu | Tamari (may contain wheat),soy,AI/ML general food-safety reference (not yet dataset-verified),A fermented condiment made from soybeans (and often wheat).,false
Wheat,Wheat flour | Whole wheat | Wheat starch | Triticum,wheat,OpenFoodFacts (2019 export) + allergies_10k.csv,The most common gluten-containing grain used in baking worldwide.,true
Gluten,Gluten protein | Vital wheat gluten,wheat,OpenFoodFacts (2019 export) + allergies_10k.csv,"The protein complex (from wheat, barley, rye) that gives dough its elasticity; the trigger for Celiac disease and gluten sensitivity.",true
Semolina,Durum wheat | Semolina flour,wheat,OpenFoodFacts (2019 export) + allergies_10k.csv,"Coarsely ground durum wheat, commonly used for pasta and some desserts.",true
Spelt,Dinkel wheat | Triticum spelta,wheat,OpenFoodFacts (2019 export),An ancient wheat variety; still contains gluten despite being marketed as a 'healthier' grain.,true
Malt / Malt extract,Barley malt | Malted barley,wheat,AI/ML general food-safety reference (not yet dataset-verified),A sweetener/flavoring made from sprouted barley; contains gluten.,false
Bulgur,Cracked wheat,wheat,AI/ML general food-safety reference (not yet dataset-verified),Parboiled cracked wheat used in Middle Eastern dishes.,false
Farina,Cream of Wheat (brand),wheat,AI/ML general food-safety reference (not yet dataset-verified),A milled wheat cereal product.,false
Triticale,Wheat-rye hybrid,wheat,AI/ML general food-safety reference (not yet dataset-verified),A hybrid grain of wheat and rye; contains gluten.,false
"Fish (finfish, generic)",Fish protein | Fish extract | Fish | finfish | generic | Fish finfish generic,fish,AI/ML general food-safety reference (not yet dataset-verified),General finned-fish ingredient; specific species should be parsed when the label provides one.,false
Anchovy,Anchovy paste | Anchovy extract,fish,OpenFoodFacts (2019 export) + allergies_10k.csv,"A small, oily fish frequently used as a flavor base rather than a standalone dish, making it an easy-to-miss allergen.",true
Fish sauce,Nam pla | Nuoc mam,fish,OpenFoodFacts (2019 export),"A fermented condiment made from fish, common in Southeast Asian cuisine.",true
Fish gelatin,Marine gelatin,fish,OpenFoodFacts (2019 export),"Gelatin derived from fish skin/bones, used as a setting agent - an alternative to beef/pork gelatin.",true
Worcestershire sauce,Worcester sauce,fish,AI/ML general food-safety reference (not yet dataset-verified),"A fermented condiment that traditionally contains anchovies, making it a hidden fish-allergen source.",false
Shrimp,Prawn (small) | Crevette,shellfish,OpenFoodFacts (2019 export) + allergies_10k.csv,A crustacean shellfish and one of the most common seafood allergens.,true
Crab,"Crab meat | Crab extract | Surimi (imitation crab, contains fish + sometimes crab flavoring)",shellfish,OpenFoodFacts (2019 export) + allergies_10k.csv,A crustacean shellfish; also relevant to 'imitation crab' (surimi) which may contain real crab flavoring.,true
Lobster,Lobster extract | Langouste,shellfish,OpenFoodFacts (2019 export),"A crustacean shellfish, high-value seafood allergen.",true
Crayfish,Crawfish | Langoustine,shellfish,AI/ML general food-safety reference (not yet dataset-verified),"A freshwater crustacean, cross-reactive with shrimp/lobster/crab allergies.",false
Prawn,Tiger prawn | King prawn,shellfish,OpenFoodFacts (2019 export),A larger crustacean closely related to shrimp; treated identically for allergy purposes.,true
Whole Milk,Full-fat milk | Vitamin D milk,milk,"AI/ML generated - common real-world label wording, not yet dataset-verified","Cow's milk with its natural fat content unchanged, commonly used as a base liquid or powder in processed foods.",false
Nonfat Dry Milk,Skim milk powder | Powdered skim milk,milk,"AI/ML generated - common real-world label wording, not yet dataset-verified","Milk with the water and fat removed, leaving a concentrated milk-protein powder used in baked goods and mixes.",false
Whey Protein Concentrate,WPC | Concentrated whey protein,milk,"AI/ML generated - common real-world label wording, not yet dataset-verified","A dried, protein-rich form of whey used to boost protein content in processed and sports-nutrition foods.",false
Skim Milk Powder,Nonfat milk powder,milk,"AI/ML generated - common real-world label wording, not yet dataset-verified","Dried skim milk, used as a lower-fat alternative to whole milk powder in many packaged foods.",false
Egg White Powder,Dried egg white | Powdered albumen,egg,"AI/ML generated - common real-world label wording, not yet dataset-verified",Dehydrated egg whites used for their protein and foaming properties in baked goods and mixes.,false
Whole Egg Powder,Dried whole egg,egg,"AI/ML generated - common real-world label wording, not yet dataset-verified","Dehydrated whole egg (white and yolk together), used as a shelf-stable egg substitute in processed foods.",false
Almond Flour,Ground almonds | Almond meal (fine),tree_nuts,"AI/ML generated - common real-world label wording, not yet dataset-verified","Finely ground almonds used as a flour substitute, common in gluten-free and low-carb baked goods.",false
Cashew Butter,Ground cashew spread,tree_nuts,"AI/ML generated - common real-world label wording, not yet dataset-verified","A spread made from ground cashews, used similarly to peanut butter in spreads and baked goods.",false
Hazelnut Paste,Ground hazelnut paste,tree_nuts,"AI/ML generated - common real-world label wording, not yet dataset-verified","A concentrated paste made from ground hazelnuts, common in chocolate spreads and confections.",false
Hydrolyzed Soy Protein,HSP | Hydrolyzed soya protein,soy,"AI/ML generated - common real-world label wording, not yet dataset-verified",Soy protein broken down chemically or enzymatically to enhance savory flavor in seasonings and snack foods.,false
Anchovy Extract,Anchovy concentrate,fish,"AI/ML generated - common real-world label wording, not yet dataset-verified","A concentrated flavoring made from anchovies, often used as a savory base in sauces and dressings.",false
Enriched Wheat Flour,Fortified wheat flour,wheat,"AI/ML generated - common real-world label wording, not yet dataset-verified",Standard wheat flour with added vitamins and minerals (like iron and B vitamins) to replace what's lost in milling.,false
Shrimp Powder,Dried shrimp powder | Shrimp flavoring,shellfish,"AI/ML generated - common real-world label wording, not yet dataset-verified","Dried, ground shrimp used as a savory flavoring agent, common in Southeast Asian sauces and seasonings.",false
Cultured Milk,Cultured buttermilk (milk-based),milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Milk that has been fermented with live cultures, used in some dairy products and dressings.",true
Sour Cream,Cultured sour cream,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A fermented dairy product made from cream, commonly used as a topping or in sauces and dips.",true
Cream Cheese,Cultured cream cheese,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A soft, fresh cheese made from milk and cream, widely used as a spread and in baked goods.",true
Milkfat,Milk fat,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","The fat portion of milk, used to add richness to dairy products, chocolate, and baked goods.",true
Condensed Milk,Sweetened condensed milk,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Milk with water removed and sugar added, used as a sweet, thick dairy ingredient in desserts.",true
Milk Protein Concentrate,MPC,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)",A concentrated milk-derived protein powder used to boost protein content in processed dairy and snack foods.,true
Evaporated Milk,Unsweetened evaporated milk,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Milk with about 60% of its water removed, used as a shelf-stable dairy ingredient in cooking and baking.",true
Half and Half,Half-and-half cream,milk,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A mixture of equal parts milk and cream, commonly used as a coffee creamer and in cooking.",true
Whole Wheat,Whole wheat flour,wheat,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Wheat flour milled from the entire wheat kernel, including the bran and germ, used in bread and baked goods.",true
Wheat Starch,Modified wheat starch,wheat,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A starch extracted from wheat, used as a thickener - a hidden wheat source in products that don't taste like bread.",true
Durum Wheat,Durum wheat semolina,wheat,"allergies_10k.csv (real, hand-verified occurrence in the dataset)",A hard wheat variety most commonly used to make pasta.,true
Wheat Bran,Bran (wheat),wheat,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","The outer layer of the wheat kernel, often added to cereals and baked goods for fiber.",true
Wheat Germ,Wheat germ oil,wheat,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","The nutrient-rich embryo of the wheat kernel, sometimes added to cereals and health foods.",true
Couscous,Moroccan couscous,wheat,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A small pasta-like product made from durum wheat semolina, common in North African and Mediterranean dishes.",true
Soybean Oil,Soy oil,soy,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Oil extracted from soybeans, one of the most common cooking oils in processed foods.",true
Soy Flour,Defatted soy flour,soy,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Soybeans ground into a fine powder, used to add protein and texture to baked goods and snack foods.",true
Soy Fiber,Soy bran | Soy isolate fiber,soy,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A fiber ingredient derived from soybeans, used to boost fiber content in processed foods.",true
Coconut,Coconut meat | Coconut flakes | Desiccated coconut,tree_nuts,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Though botanically a fruit, coconut is treated as a tree nut for allergy-labeling purposes in the US.",true
Almond Butter,Ground almond spread,tree_nuts,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A spread made from ground almonds, used similarly to peanut butter.",true
Walnut Oil,Pressed walnut oil,tree_nuts,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Oil pressed from walnuts, used in dressings and some baked goods.",true
Hazelnut Oil,Refined hazelnut oil,tree_nuts,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Oil pressed from hazelnuts, sometimes used in cooking or as a flavoring oil - even highly refined versions can carry allergen risk.",true
Mayonnaise,Egg-based mayonnaise,egg,"allergies_10k.csv (real, hand-verified occurrence in the dataset)",A condiment made primarily from egg yolks and oil - a frequently overlooked hidden source of egg.,true
Egg Noodles,Enriched egg noodles,egg,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Pasta made with egg added to the dough, a hidden egg source in dishes that don't obviously contain egg.",true
Peanut Butter,Ground peanut spread,peanut,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A spread made from ground, roasted peanuts - one of the most common peanut-containing products.",true
Sardine,Sardines,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A small, oily fish often canned in oil or sauce.",true
Tilapia,Tilapia fillet,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A widely farmed freshwater fish, common in prepared fish products.",true
Pollock,Alaska pollock | Pollock fillet,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A whitefish commonly used in fish sticks, imitation crab (surimi), and other processed fish products.",true
Salmon,Salmon fillet,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A common oily fish, found fresh, canned, or as an ingredient in prepared foods.",true
Tuna,Tuna fish,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A common fish sold canned or fresh, and used as an ingredient in prepared foods like salads and sauces.",true
Cod,Cod fillet,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)",A mild whitefish common in prepared and frozen fish products.,true
Fish Protein,Hydrolyzed fish protein,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A protein derived from fish, sometimes used as a flavor enhancer or nutritional additive.",true
Fish Stock,Fish broth,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","A liquid made by simmering fish bones and trimmings, used as a flavor base in soups and sauces.",true
Fish Oil,Omega-3 fish oil,fish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)","Oil derived from fish, used both as a supplement and as an ingredient in some fortified foods.",true
Scallop,Scallops,shellfish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)",A bivalve shellfish; grouped here under shellfish for allergy-labeling purposes even though it is technically a mollusk rather than a crustacean.,true
Snow Crab,Snow crab legs,shellfish,"allergies_10k.csv (real, hand-verified occurrence in the dataset)",A specific crab species commonly used in seafood dishes and imitation crab products.,true
almonds natural,almonds-natural | almondsnatural,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"cheddar club cheese (cheddar cheese [pasteurized milk, cheese culture, salt, enzymes], water, salt, annatto color)",cheddar club cheese | cheddar cheese | pasteurized milk | cheese culture | enzymes | annatto color | cheddar club cheese cheddar cheese pasteurized milk cheese culture salt enzymes water salt annatto color,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"imported pecorino romano cheese (pasteurzied sheep's milk, salt, cheese culture, enzymes)",imported pecorino romano cheese | pasteurzied sheep's milk | cheese culture | enzymes | imported pecorino romano cheese pasteurzied sheep s milk salt cheese culture enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"vegetable broth (water, carrots, onions, celery, salt, carrot juice concentrate, sugar, yeast extract, natural flavoring, potato flour, dehydrated carrots)",vegetable broth | carrots | onions | celery | carrot juice concentrate | yeast extract | natural flavoring | potato flour | vegetable broth water carrots onions celery salt carrot juice concentrate sugar yeast extract natural flavoring potato flour dehydrated carrots,celery,allergies_10k.csv,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
celery,,celery,allergies_10k.csv:token,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
"filling ingredients: pre-cooked scrambled eggs (eggs, skim milk, soybean oil, corn starch, salt, xanthan gum, citric acid preservative, pasteurized process cheddar cheese blend wit",filling ingredients: pre-cooked scrambled eggs | eggs | skim milk | soybean oil | corn starch | xanthan gum | citric acid preservative | pasteurized process cheddar cheese blend wit | filling ingredients pre cooked scrambled eggs eggs skim milk soybean oil corn starch salt xanthan gum citric acid preservative pasteurized process cheddar cheese blend wit,egg,allergies_10k.csv,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
eggs,,egg,allergies_10k.csv:token,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
"natural caramel flavor base (sugar, corn syrup, high fructose corn syrup, buttermilk, skim milk, butter, mono and diglycerides)",natural caramel flavor base | corn syrup | high fructose corn syrup | buttermilk | skim milk | butter | mono | diglycerides | natural caramel flavor base sugar corn syrup high fructose corn syrup buttermilk skim milk butter mono and diglycerides,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"romano cheese (pasteurized milk, culture, enzymes, salt)",romano cheese | pasteurized milk | culture | enzymes | romano cheese pasteurized milk culture enzymes salt,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"pepper & margarine(oil, water, mono & diglycerides, sodium benzoate added as preservative, lactic acid, artificial butter flavor, colored and beta carotene, vitamin a palmitate add",pepper & margarine | mono & diglycerides | sodium benzoate added as preservative | lactic acid | artificial butter flavor | colored | beta carotene | vitamin a palmitate add | pepper margarine oil water mono diglycerides sodium benzoate added as preservative lactic acid artificial butter flavor colored and beta carotene vitamin a palmitate add,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
organic raw almond butter,organic-raw-almond-butter | organicrawalmondbutter,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"bagel (enriched flour [wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid], water, whole wheat flour, contains less than 2% o",bagel | enriched flour | wheat flour | niacin | reduced iron | thiamine mononitrate {vitamin b1} | riboflavin {vitamin b2} | folic acid | bagel enriched flour wheat flour niacin reduced iron thiamine mononitrate vitamin b1 riboflavin vitamin b2 folic acid water whole wheat flour contains less than 2 o,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
soya lecithin (emulsiifier),soya lecithin | emulsiifier | soya lecithin emulsiifier,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"roasted garlic sauce (water, coconut milk [coconut cream, water], roasted garlic, chicken stock [chicken stock, salt], chicken fat, tapioca starch, chablis wine, yeast extract, but",roasted garlic sauce | coconut milk | coconut cream | roasted garlic | chicken stock | chicken fat | tapioca starch | chablis wine | roasted garlic sauce water coconut milk coconut cream water roasted garlic chicken stock chicken stock salt chicken fat tapioca starch chablis wine yeast extract but,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"caramel filling (water, cane sugar, condensed skim milk, butter [cream, salt], cream, natural flavor, pectin, gluconic acid, xanthan gum, corn starch, sea salt, color [caramel colo",caramel filling | cane sugar | condensed skim milk | butter | cream | natural flavor | pectin | gluconic acid | caramel filling water cane sugar condensed skim milk butter cream salt cream natural flavor pectin gluconic acid xanthan gum corn starch sea salt color caramel colo,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"cooked italian style pizza topping (sausage [pork, mechanically separated chicken, spices, salt, water, sugar, paprika, flavorings, sodium phosphates], water, textured vegetable pr",cooked italian style pizza topping | sausage | pork | mechanically separated chicken | spices | paprika | flavorings | sodium phosphates | cooked italian style pizza topping sausage pork mechanically separated chicken spices salt water sugar paprika flavorings sodium phosphates water textured vegetable pr,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"pasteurized process cheddar cheese (cheddar cheese (pasteurized milk, cheese cultures, salt, enzymes), water, cream, sodium phosphate, salt, sorbic acid, annatto coloring)",pasteurized process cheddar cheese | cheddar cheese | pasteurized milk | cheese cultures | enzymes | cream | sodium phosphate | sorbic acid | pasteurized process cheddar cheese cheddar cheese pasteurized milk cheese cultures salt enzymes water cream sodium phosphate salt sorbic acid annatto coloring,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
walnut oil (walnut),walnut oil | walnut | walnut oil walnut,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"white chocolate marshmallow bits (white chocolate [sugar, cocoa butter, milk, soy lecithin, natural flavor], dehydrated marshmallows [sugar, corn syrup, modified cornstarch, gelati",white chocolate marshmallow bits | white chocolate | cocoa butter | milk | soy lecithin | natural flavor | dehydrated marshmallows | corn syrup | white chocolate marshmallow bits white chocolate sugar cocoa butter milk soy lecithin natural flavor dehydrated marshmallows sugar corn syrup modified cornstarch gelati,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"cheddar cheese (cultured pasteurized milk, salt, enzymes, calcium chloride)",cheddar cheese | cultured pasteurized milk | enzymes | calcium chloride | cheddar cheese cultured pasteurized milk salt enzymes calcium chloride,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"less than 2% of: white chocolate drizzle (sugar, cocoa butter, whole milk powder, soy lecithin added as an emulsifier and natural vanilla flavor))",cocoa butter | whole milk powder | soy lecithin added as an emulsifier | natural vanilla flavor | less than 2 of white chocolate drizzle sugar cocoa butter whole milk powder soy lecithin added as an emulsifier and natural vanilla flavor,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"and asiago cheese (pasteurized part skim milk, cheese culture, salt, enzymes)",and asiago cheese | pasteurized part skim milk | cheese culture | enzymes | and asiago cheese pasteurized part skim milk cheese culture salt enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"garlic parmesan butter (unsalted butter [pasteurized cream, lactic acid], parmesan cheese [pasteurized cow's milk, cheese culture, salt, enzymes, powdered cellulose {anticaking age",garlic parmesan butter | unsalted butter | pasteurized cream | lactic acid | parmesan cheese | pasteurized cow's milk | cheese culture | enzymes | garlic parmesan butter unsalted butter pasteurized cream lactic acid parmesan cheese pasteurized cow s milk cheese culture salt enzymes powdered cellulose anticaking age,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
durum (wheat) semolina,durum | wheat | semolina | durum wheat semolina,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"parmesan cheese (pasteurized part-skim milk, cheese cultures, salt, enzymes and powdered cellulose [anti-caking agent])",parmesan cheese | pasteurized part-skim milk | cheese cultures | enzymes | powdered cellulose | anti-caking agent | parmesan cheese pasteurized part skim milk cheese cultures salt enzymes and powdered cellulose anti caking agent,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
fermented soybeans,fermented-soybeans | fermentedsoybeans,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"semi-sweet chocolate drops (sugar, chocolate liquor, dextrose cocoa butter, soy lecithin [emulsifier])",semi-sweet chocolate drops | chocolate liquor | dextrose cocoa butter | soy lecithin | emulsifier | semi sweet chocolate drops sugar chocolate liquor dextrose cocoa butter soy lecithin emulsifier,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
organic tahini (sesame seeds),organic tahini | sesame seeds | organic tahini sesame seeds,sesame,allergies_10k.csv,Label phrase associated with sesame allergy risk in food-ingredient datasets.,false
"cultured celery juice powder (cultured celery juice powder, sea salt, organic canola oil)",cultured celery juice powder | sea salt | organic canola oil | cultured celery juice powder cultured celery juice powder sea salt organic canola oil,celery,allergies_10k.csv,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
"romano cheese (sheep's and/or cow's milk, cheese culture, salt, enzymes) and/or parmesan cheese (cow's milk, cheese culture, salt, enzymes)",romano cheese | sheep's and | or cow's milk | cheese culture | enzymes | or parmesan cheese | cow's milk | romano cheese sheep s and or cow s milk cheese culture salt enzymes and or parmesan cheese cow s milk cheese culture salt enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
sodium metabisulfite (as a preservative),sodium metabisulfite | as a preservative | sodium metabisulfite as a preservative,sulphites,allergies_10k.csv,Label phrase associated with sulphites allergy risk in food-ingredient datasets.,false
"protein blend (whey protein isolate, dried egg whites)",protein blend | whey protein isolate | dried egg whites | protein blend whey protein isolate dried egg whites,egg,allergies_10k.csv,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
soybean and palm oil,soybean | palm oil,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
